identifier	publicationType	full_reference	primaryTitle	title	pageStart	pageEnd	volume	publisher	authorList	editorList	created	language	uri	doi
R100	journal article	Adler, K. 1965. Three new frogs of the genus Hyla from The Sierra Madre del Sur of Mexico. Occasional Papers of the Museum of Zoology, University of Michigan 642:1-19	Occasional Papers of the Museum of Zoology, University of Michigan	Three new frogs of the genus Hyla from The Sierra Madre del Sur of Mexico	1	19	642		Adler, K.		1965	en
R101	journal article	Adler, K. 1996. The salamanders of Guerrero, Mexico, with descriptions of five new species of Pseudoeurycea (Caudata: Plethodontidae). Occasional papers of the Natural History Museum , University of Kansas 177:1-28	Occasional papers of the Natural History Museum , University of Kansas	The salamanders of Guerrero, Mexico, with descriptions of five new species of Pseudoeurycea (Caudata: Plethodontidae)	1	28	177		Adler, K.		1996	en		
R102	journal article		Occasional Papers of the Museum of Natural History, the University of Kansas	New tree frogs of the genus Hyla from the cloud forests of western Guerrero, Mexico	1	19	7		Adler, K.|Dennis, D.M.		1972	en	http://www.biodiversitylibrary.org/page/4400451#page/3/mode/1up	
R103	journal article		Copeia	The life history and systematics of Ambystoma rosaceum	371	377	1961		Anderson, J.D.		1961	en		
R104	journal article		American Museum Novitates	New salamanders of the plethodontid genus Pseudoeurycea from the Sierra Madre del Sur of Mexico	1	27	2314		Bogert, C.M.		1967	en
R105	journal article		Proceedings of the Zoological Society of London	Fourth Report on Additions to the Batrachian Collection in the Natural-History Museum	473	482	66		Boulenger, G.A.		1898	en		10.1111/j.1096-3642.1898.tb03168.x
R106	journal article		Journal of Herpetology	New Salamanders of the Genus Oedipina (Caudata: Plethodontidae) from Guatemala	233	240	46		Brodie, E.D.|Acevedo, M.|Campbell, J.A.		2012	en		http://dx.doi.org/10.1670/11-106
R107	journal article		Herpetologica	Taxonomic Revision of the Mexican Plethodontid salamanders of the genus Lineatriton, with the descripction of two new species	194	204	58		Brodie, E.D.|Mendelson, J.R. III|Campbell, J.A.		2002	en		http://dx.doi.org/10.1655/0018-0831(2002)058[0194:TROTMP]2.0.CO;2
R108	journal article		Copeia	A New Species of Frog of the Genus Eleutherodactylus from Guatemala	118	119	1955		Bumzaham, C.B.		1955	en		
R109	journal article		Herpetologica	Additional Records and Descriptions of Mexican Frogs of the Genus Plectrohyla	61	66	10		Bumhazam, C.B.|Smith, H.M.		1954	en	http://www.jstor.org/stable/20171311	
R110	journal article		Herpetologica	Additional Notes and Descriptions of Plethodontid Salamanders from Mexico	73	75	11		Bumhazam, C.B.|Smith, H.M.		1955	en	http://www.jstor.org/stable/3889405	
R111	journal article		Occasional Papers of the Museum of Natural History, University of Kansas	A re-evaluation of the Hyla bistincta species group, with descriptions of three new species (Anura: Hylidae)	1	37	28		Caldwell, J.P.		1974	en		
R112	journal article		Scientific Papers / Natural History Museum, University of Kansas	New species of stream-breeding hylid frogs from the northern versant of the highlands of Oaxaca, Mexico	1	28	16		Campbell, J.A.|Duellman, W.E.		2000	en		http://dx.doi.org/10.5962/bhl.title.16165
R113	journal article		Proceedings of The Biological Society of Washington	A New Species Of Diminutive Eleutherodactylus (Leptodactylidae) From Oaxaca, Mexico	491	499	102		Campbell, J.A.|Lamar, W.W.|Hillis, D.M.		1989	en	http://biostor.org/reference/74569	
R114	book		Amphibians and Reptiles of Northern Guatemala						Campbell, J.A.		1998	en		
R115	journal article		Herpetological Journal	A new species of Pseudoeurycea (Caudata: Plethodontidae) from northern Oaxaca, México	21	26	13		Canseco-Marquez, L.|Parra-Olea, G.		2003	en		
R116	journal article		Proceedings of the Academy of Natural Sciences of Philadelphia	A review of the species of Plethodontidae and Desmognathidae	93	118	21		Cope, E.D.		1869	en	http://biostor.org/reference/14520	
R117	journal article		Transactions of the Kansas Academy of Science	A Collection of Reptiles and Amphibians from Eastern Mexico	180	195	57		Darling, D.M.|Smith, H.M.		1954	en	http://www.jstor.org/stable/3626018	
R118	journal article		Herpetologica	Notes on Mexican toads of the genus Tomodactylus with the descriptions of two new species	154	160	11		Davis, W.B.|Dixon, J.R.		1955	en	http://www.jstor.org/stable/3889986	
R119	journal article		Texas Journal of Science	Geographic variation and distribution of the genus Tomodactylus in Mexico	379	409	9		Dixon, J.R.		1957	en	http://repository.tamu.edu/handle/1969.1/ETD-TAMU-1957-THESIS-D621	
R120	journal article		Herpetologica	Synonymy, Variation, and Distribution of Ptychohyla leonhard-schultzei Ahl. Studies of American Hylid Frogs. IV	191	197	16		Duellman, W.E.		1960	en	http://www.jstor.org/stable/3890063	
