taxonID	parentNameUsageID	scientificName	taxonRank
T100	T419	Acris crepitans	species
T101	T420	Agalychnis callidryas	species
T102	T420	Agalychnis moreletii	species
T103	T421	Ambystoma amblycephalum	species
T104	T421	Ambystoma andersoni	species
T105	T421	Ambystoma bombypellum	species
T106	T421	Ambystoma dumerilii	species
T107	T421	Ambystoma leorae	species
T108	T421	Ambystoma mexicanum	species
T109	T421	Ambystoma ordinarium	species
T110	T421	Ambystoma rosaceum	species
T111	T421	Ambystoma tigrinum	species
T112	T422	Anaxyrus boreas	species
T113	T422	Anaxyrus cognatus	species
T114	T422	Anaxyrus compactilis	species
T115	T422	Anaxyrus debilis	species
T116	T422	Anaxyrus kelloggi	species
T117	T422	Anaxyrus punctatus	species
T118	T422	Anaxyrus retiformis	species
T119	T422	Anaxyrus woodhousii	species
T120	T423	Aneides lugubris	species
T121	T424	Batrachoseps major	species
T122	T425	Bolitoglossa alberchi	species
T123	T425	Bolitoglossa chinanteca	species
T124	T425	Bolitoglossa engelhardti	species
T125	T425	Bolitoglossa flavimembris	species
T126	T425	Bolitoglossa flaviventris	species
T127	T425	Bolitoglossa franklini	species
T128	T425	Bolitoglossa hartwegi	species
T129	T425	Bolitoglossa hermosa	species
T130	T425	Bolitoglossa lincolni	species
T131	T425	Bolitoglossa macrinii	species
T132	T425	Bolitoglossa mexicana	species
T133	T425	Bolitoglossa mulleri	species
T134	T425	Bolitoglossa oaxacensis	species
T135	T425	Bolitoglossa occidentalis	species
T136	T425	Bolitoglossa platydactyla	species
T137	T425	Bolitoglossa riletti	species
T138	T425	Bolitoglossa rostrata	species
T139	T425	Bolitoglossa rufescens	species
T140	T425	Bolitoglossa stuarti	species
T141	T425	Bolitoglossa veracrucis	species
T142	T425	Bolitoglossa yucatana	species
T143	T425	Bolitoglossa zapoteca	species
T144	T426	Bromeliohyla bromeliacia	species
T145	T427	Charadrahyla trux	species
T146	T428	Chiropterotriton arboreus	species
T147	T428	Chiropterotriton chiropterus	species
T148	T428	Chiropterotriton chondrostega	species
T149	T428	Chiropterotriton cracens	species
T150	T428	Chiropterotriton dimidiatus	species
T151	T428	Chiropterotriton lavae	species
T152	T428	Chiropterotriton magnipes	species
T153	T428	Chiropterotriton mosaueri	species
T154	T428	Chiropterotriton multidentatus	species
T155	T428	Chiropterotriton orculus	species
T156	T428	Chiropterotriton priscus	species
T157	T428	Chiropterotriton terrestris	species
T158	T429	Craugastor alfredii	species
T159	T429	Craugastor amniscola	species
T160	T429	Craugastor augusti	species
T161	T429	Craugastor berkenbuschii	species
T162	T429	Craugastor brocchi	species
T163	T429	Craugastor decoratus	species
T164	T429	Craugastor glaucus	species
T165	T429	Craugastor greggi	species
T166	T429	Craugastor guerreroensis	species
T167	T429	Craugastor hobartsmithi	species
T168	T429	Craugastor laticeps	species
T169	T429	Craugastor lineatus	species
T170	T429	Craugastor loki	species
T171	T429	Craugastor matudai	species
T172	T429	Craugastor megalotympanum	species
